Scraper,Modèle,Grade,Prix
Smartgrade, S20 5G (G981), Grade B,55.1
Smartgrade, S20 5G (G981), Grade C,33.2
Smartgrade, S20 5G (G981), Grade D,15.6
Smartgrade, S20 5G (G981), Grade E,11.5
Smartgrade, S20 5G (G981), Grade F,6.6
Smartgrade, S20 5G (G981), Grade G,4.2
Smartgrade, S20 5G (G981), Fully Broken,0
Smartgrade, S10 Plus (G975), Grade A,67.3
Smartgrade, S10 Plus (G975), Grade B,63.0
Smartgrade, S10 Plus (G975), Grade C,38.0
Smartgrade, S10 Plus (G975), Grade D,29.2
Smartgrade, S10 Plus (G975), Grade E,14.8
Smartgrade, S10 Plus (G975), Grade F,7.1
Smartgrade, S10 Plus (G975), Grade G,4.2
Smartgrade, S10 Plus (G975), Fully Broken,0
Smartgrade, S10 Lite (G770), Grade A,28.4
Smartgrade, S10 Lite (G770), Grade B,26.3
Smartgrade, S10 Lite (G770), Grade C,14.8
Smartgrade, S10 Lite (G770), Grade D,10.7
Smartgrade, S10 Lite (G770), Grade E,0
Smartgrade, S10 Lite (G770), Grade F,0
Smartgrade, S10 Lite (G770), Grade G,2.5
Smartgrade, S10 Lite (G770), Fully Broken,0
Smartgrade, S10 5G (G977), Grade A,66.3
Smartgrade, S10 5G (G977), Grade B,65.0
Smartgrade, S10 5G (G977), Grade C,40.5
Smartgrade, S10 5G (G977), Grade D,32.4
Smartgrade, S10 5G (G977), Grade E,14.8
Smartgrade, S10 5G (G977), Grade F,7.1
Smartgrade, S10 5G (G977), Grade G,4.2
Smartgrade, S10 5G (G977), Fully Broken,0
Smartgrade, S10 (G973), Grade A,52.3
Smartgrade, S10 (G973), Grade B,50.1
Smartgrade, S10 (G973), Grade C,30.8
Smartgrade, S10 (G973), Grade D,23.6
Smartgrade, S10 (G973), Grade E,11.5
Smartgrade, S10 (G973), Grade F,6.6
Smartgrade, S10 (G973), Grade G,4.2
Smartgrade, S10 (G973), Fully Broken,0
Smartgrade, S10E (G970), Grade A,20.7
Smartgrade, S10E (G970), Grade B,17.4
Smartgrade, S10E (G970), Grade C,9.9
Smartgrade, S10E (G970), Grade D,5.9
Smartgrade, S10E (G970), Grade E,0
Smartgrade, S10E (G970), Grade F,0
Smartgrade, S10E (G970), Grade G,1.3
Smartgrade, S10E (G970), Fully Broken,0
Smartgrade, S9 Edge+ (G965), Grade A,38.3
Smartgrade, S9 Edge+ (G965), Grade B,34.2
Smartgrade, S9 Edge+ (G965), Grade C,18.0
Smartgrade, S9 Edge+ (G965), Grade D,10.6
Smartgrade, S9 Edge+ (G965), Grade E,11.0
Smartgrade, S9 Edge+ (G965), Grade F,5.5
Smartgrade, S9 Edge+ (G965), Grade G,3.7
Smartgrade, S9 Edge+ (G965), Fully Broken,0
Smartgrade, S9 Edge (G960), Grade A,25.7
Smartgrade, S9 Edge (G960), Grade B,22.3
Smartgrade, S9 Edge (G960), Grade C,11.0
Smartgrade, S9 Edge (G960), Grade D,6.6
Smartgrade, S9 Edge (G960), Grade E,4.4
Smartgrade, S9 Edge (G960), Grade F,2.2
Smartgrade, S9 Edge (G960), Grade G,3.7
Smartgrade, S9 Edge (G960), Fully Broken,0
Smartgrade, S8 Edge+ (G955), Grade A,38.3
Smartgrade, S8 Edge+ (G955), Grade B,33.7
Smartgrade, S8 Edge+ (G955), Grade C,20.4
Smartgrade, S8 Edge+ (G955), Grade D,14.8
Smartgrade, S8 Edge+ (G955), Grade E,11.0
Smartgrade, S8 Edge+ (G955), Grade F,5.5
Smartgrade, S8 Edge+ (G955), Grade G,9.0
Smartgrade, S8 Edge+ (G955), Fully Broken,0
Smartgrade, S8 Edge (G950), Grade A,25.7
Smartgrade, S8 Edge (G950), Grade B,22.3
Smartgrade, S8 Edge (G950), Grade C,12.3
Smartgrade, S8 Edge (G950), Grade D,8.3
Smartgrade, S8 Edge (G950), Grade E,4.4
Smartgrade, S8 Edge (G950), Grade F,2.2
Smartgrade, S8 Edge (G950), Grade G,3.7
Smartgrade, S8 Edge (G950), Fully Broken,0
Smartgrade, S7 Edge (G935), Grade A,17.6
Smartgrade, S7 Edge (G935), Grade B,14.4
Smartgrade, S7 Edge (G935), Grade C,8.3
Smartgrade, S7 Edge (G935), Grade D,3.8
Smartgrade, S7 Edge (G935), Grade E,4.4
Smartgrade, S7 Edge (G935), Grade F,2.2
Smartgrade, S7 Edge (G935), Grade G,3.7
Smartgrade, S7 Edge (G935), Fully Broken,0
Smartgrade, S7 (G930), Grade A,4.0
Smartgrade, S7 (G930), Grade B,2.5
Smartgrade, S7 (G930), Grade C,0.7
Smartgrade, S7 (G930), Grade D,0.1
Smartgrade, S7 (G930), Grade E,0
Smartgrade, S7 (G930), Grade F,0
Smartgrade, S7 (G930), Grade G,1.3
Smartgrade, S7 (G930), Fully Broken,0
Smartgrade, S6 Edge+ (G928), Grade A,8.7
Smartgrade, S6 Edge+ (G928), Grade B,6.3
Smartgrade, S6 Edge+ (G928), Grade C,3.3
Smartgrade, S6 Edge+ (G928), Grade D,1.7
Smartgrade, S6 Edge+ (G928), Grade E,0
Smartgrade, S6 Edge+ (G928), Grade F,0
Smartgrade, S6 Edge+ (G928), Grade G,2.5
Smartgrade, S6 Edge+ (G928), Fully Broken,0
Smartgrade, S6 Edge (G925), Grade A,8.5
Smartgrade, S6 Edge (G925), Grade B,4.5
Smartgrade, S6 Edge (G925), Grade C,1.9
Smartgrade, S6 Edge (G925), Grade D,1.1
Smartgrade, S6 Edge (G925), Grade E,0
Smartgrade, S6 Edge (G925), Grade F,0
